2025-12-01 17:21:19 | MainThread   | INFO     | 柔性体质量: 0.153600 kg
2025-12-01 17:21:19 | MainThread   | INFO     | 柔性体质量: 0.153600 kg
2025-12-01 17:21:19 | MainThread   | INFO     | 柔性体质量: 0.153600 kg
2025-12-01 17:21:20 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:21:20 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:21:20 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:21:20 | MainThread   | INFO     | 开始慢速下压...
2025-12-01 17:21:21 | MainThread   | INFO     | 开始慢速下压...
2025-12-01 17:21:21 | MainThread   | INFO     | 开始慢速下压...
2025-12-01 17:21:30 | MainThread   | INFO     | 找到 139 个npy文件
2025-12-01 17:21:30 | MainThread   | INFO     | 第一个文件形状: (17, 17, 3, 3), 数据类型: float64
2025-12-01 17:21:30 | MainThread   | INFO     | 找到 139 个npy文件
2025-12-01 17:21:30 | MainThread   | INFO     | 第一个文件形状: (17, 17, 3, 3), 数据类型: float64
2025-12-01 17:21:31 | MainThread   | INFO     | 找到 139 个npy文件
2025-12-01 17:21:31 | MainThread   | INFO     | 第一个文件形状: (17, 17, 3, 3), 数据类型: float64
2025-12-01 17:21:31 | MainThread   | INFO     | 合并后的形状: (139, 17, 17, 3, 3)
2025-12-01 17:21:31 | MainThread   | INFO     | 总文件数: 139
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 1/139: grid_20251201_172119_399864_000010.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 2/139: grid_20251201_172119_399864_000019.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 3/139: grid_20251201_172119_399864_000029.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 4/139: grid_20251201_172119_399864_000039.npy
2025-12-01 17:21:31 | MainThread   | INFO     | 已合并文件 5/139: grid_20251201_172119_399864_000049.npy
