2025-12-01 17:26:49 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:50 | MainThread   | INFO     | 模拟运行器初始化完成
2025-12-01 17:26:56 | MainThread   | INFO     | 已删除 79 个原始npy文件
