2025-12-01 17:33:38 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019, INDENTER_X=0.03
2025-12-01 17:33:39 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.019, INDENTER_X=0.032
2025-12-01 17:33:57 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.019, INDENTER_X=0.03
2025-12-01 17:33:57 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.018, INDENTER_X=0.026
2025-12-01 17:33:57 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.019, INDENTER_X=0.032
2025-12-01 17:33:57 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.018, INDENTER_X=0.028
2025-12-01 17:34:17 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.018, INDENTER_X=0.026
2025-12-01 17:34:17 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.017, INDENTER_X=0.022
2025-12-01 17:34:17 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.018, INDENTER_X=0.028
2025-12-01 17:34:17 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.017, INDENTER_X=0.024
2025-12-01 17:34:38 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.017, INDENTER_X=0.022
2025-12-01 17:34:38 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.016, INDENTER_X=0.018
2025-12-01 17:34:39 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.017, INDENTER_X=0.024
2025-12-01 17:34:39 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.016, INDENTER_X=0.02
2025-12-01 17:35:01 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.016, INDENTER_X=0.02
2025-12-01 17:35:02 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.015, INDENTER_X=0.016
2025-12-01 17:35:02 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.016, INDENTER_X=0.018
2025-12-01 17:35:02 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.015, INDENTER_X=0.018
2025-12-01 17:35:25 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.015, INDENTER_X=0.016
2025-12-01 17:35:25 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.013999999999999999, INDENTER_X=0.012
2025-12-01 17:35:26 | MainThread   | INFO     | 模拟结束 配置参数: TARGET_POSITION=0.015, INDENTER_X=0.018
2025-12-01 17:35:26 | MainThread   | INFO     | 模拟开始 配置参数: TARGET_POSITION=0.013999999999999999, INDENTER_X=0.014
