2025-12-22 10:57:55 | MainThread   | INFO     | 模拟开始...
2025-12-22 10:57:55 | MainThread   | INFO     | [0.07] 模拟时间:0.01 深度:0.035 弹性变形:-0.0425  执行器力: 2.24 -0.00N 速度: 0.0021m/s
2025-12-22 10:57:55 | MainThread   | INFO     | [0.13] 模拟时间:0.02 深度:0.035 弹性变形:-0.0724  执行器力: 2.21 0.00N 速度: -0.0003m/s
2025-12-22 10:57:55 | MainThread   | INFO     | [0.20] 模拟时间:0.03 深度:0.035 弹性变形:-0.0847  执行器力: 2.18 -0.00N 速度: 0.0000m/s
2025-12-22 10:57:55 | MainThread   | INFO     | [0.26] 模拟时间:0.04 深度:0.035 弹性变形:-0.0838  执行器力: 2.18 -0.00N 速度: 0.0000m/s
2025-12-22 10:57:56 | MainThread   | INFO     | [0.32] 模拟时间:0.05 深度:0.035 弹性变形:-0.0787  执行器力: 2.18 0.00N 速度: -0.0000m/s
2025-12-22 10:57:56 | MainThread   | INFO     | [0.38] 模拟时间:0.06 深度:0.035 弹性变形:-0.0761  执行器力: 2.18 -0.00N 速度: 0.0000m/s
2025-12-22 10:57:56 | MainThread   | INFO     | [0.45] 模拟时间:0.07 深度:0.035 弹性变形:-0.0771  执行器力: 2.18 -0.00N 速度: 0.0000m/s
2025-12-22 10:57:56 | MainThread   | INFO     | [0.51] 模拟时间:0.08 深度:0.035 弹性变形:-0.0797  执行器力: 2.18 0.00N 速度: -0.0000m/s
2025-12-22 10:57:56 | MainThread   | INFO     | [0.57] 模拟时间:0.09 深度:0.035 弹性变形:-0.0817  执行器力: 2.18 -0.00N 速度: 0.0000m/s
2025-12-22 10:57:56 | MainThread   | INFO     | [0.63] 模拟时间:0.10 深度:0.035 弹性变形:-0.0821  执行器力: 2.18 -0.00N 速度: 0.0000m/s
2025-12-22 10:57:56 | MainThread   | INFO     | [0.69] 模拟时间:0.11 深度:0.035 弹性变形:-0.0815  执行器力: 2.29 0.01N 速度: -0.0112m/s
