2025-12-25 16:28:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0010
2025-12-25 16:28:50 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0010, Y=0.0010
2025-12-25 16:34:40 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0000, Y=-0.0060
2025-12-25 16:34:41 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0000, Y=-0.0060
2025-12-25 16:38:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0000, Y=-0.0020
2025-12-25 16:38:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0000, Y=-0.0020
2025-12-25 16:47:13 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0010, Y=0.0060
2025-12-25 16:47:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0010, Y=-0.0060
2025-12-25 16:50:48 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0010, Y=-0.0020
2025-12-25 16:51:28 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0010, Y=-0.0010
2025-12-25 16:58:56 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=0.0050
2025-12-25 16:59:53 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=-0.0040
2025-12-25 17:03:31 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=-0.0020
2025-12-25 17:03:58 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0020, Y=0.0010
2025-12-25 17:10:27 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0040
2025-12-25 17:10:40 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0050
2025-12-25 17:14:25 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=-0.0000
2025-12-25 17:14:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0030, Y=0.0030
2025-12-25 17:19:30 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0040, Y=0.0040
2025-12-25 17:20:07 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=0.0040, Y=-0.0050
