2025-12-25 19:22:42 | MainThread   | INFO     | 生成参数组合: 576 个
2025-12-25 19:22:42 | MainThread   | INFO     | 开始处理任务: 576 个
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0030
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0000
2025-12-25 19:22:44 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0000
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0050
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0060
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0020
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0010
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0010
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0040
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=0.0020
2025-12-25 19:22:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030
