2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=4
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=3
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=3
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=5
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=4
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=2
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=3
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=5
2025-12-25 22:00:17 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=4
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=2
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=2
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=1
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=3
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=1
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=1
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=5
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=2
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=1
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=3
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=1
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=4
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0060, TYPE=4
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=2
2025-12-25 22:00:18 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0050, TYPE=5
2025-12-25 22:03:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0040, TYPE=5
2025-12-25 22:03:39 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=1
2025-12-25 22:03:42 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=2
2025-12-25 22:03:43 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=3
2025-12-25 22:03:45 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=4
2025-12-25 22:03:46 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=5
2025-12-25 22:03:46 | MainThread   | INFO     | 模拟开始: TARGET=0.0060, X=-0.0060, Y=-0.0030, TYPE=1
